Date,Category,Net worth,Assets,Real estate,Consumer durables,Corporate equities and mutual fund shares,Pension entitlements,Private businesses,Other assets,Liabilities,Home mortgages,Consumer credit,Other liabilities
2005:Q3,GenX,8.6,12.2,18.1,20.5,6.4,8.3,11.2,8.7,31.4,31.3,36.7,3.8
2005:Q3,Millennial,0.4,0.5,0.5,1.9,0.1,0.3,0.9,0.3,1.2,0.7,3.3,0
2005:Q4,Silent,44.7,40,34.7,32.3,48.8,34.7,38.1,52.9,15.2,13.8,15.3,49
2005:Q4,BabyBoom,46.1,46.9,46.3,44.9,44.9,56.2,49.5,37.4,51.3,53.2,44.4,46.9
2005:Q4,GenX,8.9,12.6,18.4,20.8,6.3,8.7,11.4,9.4,32.1,32.1,36.6,4
2005:Q4,Millennial,0.4,0.5,0.5,2,0.1,0.4,1.1,0.2,1.4,0.8,3.7,0.1
2006:Q1,Silent,43.8,39.2,34.1,31.4,47.3,34,38,51,15.1,13.6,15.1,49.6
2006:Q1,BabyBoom,46.6,47.3,46,44.8,44.9,56.5,49.6,40,50.5,52.3,44.3,45.7
2006:Q1,GenX,9.2,13,19.3,21.6,7.7,9.2,11.3,8.6,32.8,33,36.6,4.6
2006:Q1,Millennial,0.4,0.6,0.7,2.3,0.1,0.3,1.1,0.4,1.6,1,4,0.1
2006:Q2,Silent,43.6,38.9,33.7,31,48,33.7,37.9,50.1,14.8,13.4,14.8,49.3
2006:Q2,BabyBoom,47.2,47.7,46.2,44.8,45.1,57.1,49.5,41.5,50.2,51.9,44.2,45.8
2006:Q2,GenX,8.8,12.8,19.5,21.8,6.8,8.9,11.4,7.9,33.2,33.6,36.7,4.8
2006:Q2,Millennial,0.4,0.6,0.7,2.4,0.1,0.3,1.2,0.4,1.7,1.1,4.3,0.1
2006:Q3,Silent,43.1,38.4,33.3,30.8,47.7,32.8,37.7,49.4,14.7,13.2,14.4,49.6
2006:Q3,BabyBoom,47.3,47.7,46.4,44.5,45.2,57.2,49.4,41,49.9,51.6,43.7,45.1
2006:Q3,GenX,9.2,13.3,19.7,22.2,7,9.7,11.7,9.2,33.7,34.1,36.9,5.2
2006:Q3,Millennial,0.4,0.6,0.7,2.5,0.1,0.3,1.3,0.4,1.8,1.1,4.9,0.1
2006:Q4,Silent,42.4,37.8,32.7,30.2,46.6,31.9,37.5,48.9,14.6,13,14.2,50.1
2006:Q4,BabyBoom,47.3,47.6,46.4,44.2,45.3,57.2,49.6,40.1,49.4,51.2,43.5,43.7
2006:Q4,GenX,9.9,13.9,20.1,22.9,7.9,10.6,11.5,10.6,34,34.6,37,6
2006:Q4,Millennial,0.4,0.7,0.7,2.6,0.1,0.3,1.4,0.4,2,1.2,5.4,0.2
2007:Q1,Silent,41.7,37.1,32.1,29.4,45.9,31.3,37.4,47.1,14.3,12.9,13.8,49.7
2007:Q1,BabyBoom,48,48.1,46.3,44.3,45.5,57.6,49.5,43,48.8,50.3,43.2,44.1
2007:Q1,GenX,9.9,14,20.7,23.4,8.4,10.8,11.7,9.4,34.7,35.3,37.2,6
2007:Q1,Millennial,0.5,0.8,0.9,2.9,0.2,0.3,1.4,0.5,2.2,1.5,5.8,0.2
2007:Q2,Silent,41.1,36.6,31.8,28.7,45.5,30.4,37.4,45.9,14.4,12.7,13.5,51.4
2007:Q2,BabyBoom,48.3,48.3,46.2,44,45.7,57.7,49.4,44.1,48.4,50,43,42.2
2007:Q2,GenX,10.1,14.3,21,24.1,8.5,11.7,11.9,9.4,34.9,35.8,37.2,6.3
2007:Q2,Millennial,0.5,0.8,0.9,3.1,0.2,0.2,1.4,0.7,2.4,1.5,6.2,0.2
2007:Q3,Silent,40.9,36.4,31.8,28.3,45.4,29.8,37.3,45.2,14,12.5,13.2,49.2
2007:Q3,BabyBoom,48.5,48.5,46.4,43.9,45.9,57.9,49.3,44.2,48.2,49.8,42.5,43.6
2007:Q3,GenX,10.1,14.4,20.9,24.6,8.4,12.1,12,10,35.3,36.1,37.4,6.9
2007:Q3,Millennial,0.4,0.8,0.9,3.3,0.3,0.2,1.4,0.6,2.5,1.5,6.9,0.3
2007:Q4,Silent,40.6,36,31.3,27.5,45.1,29.5,36.7,44.9,13.9,12.4,12.9,48.2
2007:Q4,BabyBoom,48.7,48.6,46.4,44.3,46.7,58.2,49.4,43.6,48,49.6,42.2,44.2
2007:Q4,GenX,10.3,14.6,21.2,24.6,8,12.1,12.6,10.9,35.4,36.2,37.5,7.3
2007:Q4,Millennial,0.5,0.9,1.1,3.6,0.3,0.2,1.3,0.7,2.7,1.7,7.4,0.3
2008:Q1,Silent,40.1,35.4,30.3,27,45,29.8,36.6,43.5,13.8,12.3,12.4,47.6
2008:Q1,BabyBoom,50.1,49.6,46.8,44.9,47.6,58.6,50.7,46.6,47.8,49.4,41.9,44.4
2008:Q1,GenX,9.3,14,21.6,24.2,7.1,11.4,11.6,8.9,35.5,36.4,37.9,7.7
2008:Q1,Millennial,0.6,1,1.3,3.9,0.3,0.2,1.2,1,2.9,1.9,7.7,0.3
2008:Q2,Silent,39.8,35.1,30.1,26.9,44.4,29.5,36.5,43,13.3,12.2,12.2,43.2
2008:Q2,BabyBoom,51.2,50.4,47.4,45.1,48.4,58.9,51.7,48,46.9,48.1,41.8,48.3
2008:Q2,GenX,8.5,13.5,21.1,24,6.9,11.5,10.7,7.9,36.2,37.1,38,8.2
2008:Q2,Millennial,0.5,1,1.3,4,0.3,0.1,1.1,1.1,3.5,2.5,8.1,0.3
2008:Q3,Silent,39.8,34.9,30.5,26.3,45.4,28.9,36,42.3,13.6,12.1,11.7,44.9
2008:Q3,BabyBoom,51.9,51,47.6,45.6,49.4,59,52,49.5,47.3,48.8,41.3,46
2008:Q3,GenX,7.7,13,20.6,23.8,4.8,11.4,10.8,7.1,35.7,36.7,38.4,8.7
2008:Q3,Millennial,0.6,1.1,1.3,4.3,0.3,0.6,1.1,1.1,3.4,2.4,8.5,0.3
2008:Q4,Silent,40.2,34.9,29.9,25.6,47.5,28.7,36,43.4,12.5,12.1,11.3,30.5
2008:Q4,BabyBoom,51.4,50.8,47.7,46.7,51.4,59.5,53.2,46,47.9,49.2,41.1,58.6
2008:Q4,GenX,7.5,12.9,20.9,23,0.7,10.5,9.9,9.5,36.1,36.5,38.7,10.1
2008:Q4,Millennial,0.9,1.4,1.5,4.7,0.3,1.4,0.9,1.2,3.6,2.3,8.9,0.8
2009:Q1,Silent,39.5,34.2,28.6,25.2,47.6,28.2,35.9,42.9,12.1,12,10.8,25.4
2009:Q1,BabyBoom,52.4,51.7,47.9,47.1,52.2,59.8,53.7,48.9,48.4,49.8,40.9,63.5
2009:Q1,GenX,7,12.6,21.7,22.7,0,10.2,9.6,7.2,36,36.1,39.2,10.3
2009:Q1,Millennial,1.2,1.6,1.9,5,0.3,1.9,0.8,0.9,3.4,2.2,9.1,0.8
2009:Q2,Silent,39.2,34,28.7,25.1,44,28.1,36.3,42.8,11.9,11.9,10.5,23.8
2009:Q2,BabyBoom,52.6,51.7,48.3,46.8,52.2,59.8,55.4,47.5,47.9,49,40.9,63.7
2009:Q2,GenX,7.3,12.9,21.1,23.1,3.4,10.9,7.6,8.7,36.3,36.5,39.3,11.6
2009:Q2,Millennial,0.9,1.4,1.9,5,0.4,1.2,0.8,1,3.8,2.6,9.3,0.9
2009:Q3,Silent,38.4,33.5,29,25.1,41,27.6,36.2,41.5,11.8,11.8,10.1,24
2009:Q3,BabyBoom,53.4,52.4,48.9,46.4,51.8,59.7,56.6,49.8,48,49.3,40.5,62.9
2009:Q3,GenX,7.5,12.8,20.4,23.5,6.8,12.1,6.5,7.5,36.2,36.3,39.7,12.2
2009:Q3,Millennial,0.7,1.3,1.8,5,0.4,0.6,0.8,1.1,3.9,2.6,9.7,0.9
2009:Q4,Silent,38.1,33.2,28.9,24.5,39.7,27.1,35.5,42.4,11.7,11.7,9.7,24.2
2009:Q4,BabyBoom,52,51.2,48.8,46.3,52.1,59.6,56.9,44,47.7,48.9,40.3,62
2009:Q4,GenX,9.3,14.3,20.4,23.9,7.7,12.9,6.9,12.5,36.3,36.4,40,12.8
2009:Q4,Millennial,0.7,1.3,1.9,5.3,0.5,0.5,0.8,1.1,4.3,3,10.1,1
2010:Q1,Silent,37,32.4,28.9,24.3,38.3,26.1,34.7,40.9,11.7,11.6,9.2,24.5
2010:Q1,BabyBoom,53.2,52.1,49,46.2,52.3,59.5,56.9,48,47.5,48.6,40.2,60.8
2010:Q1,GenX,9.1,14,20.1,24.1,9,13.8,7.7,9.8,36.2,36.4,40.4,13.4
2010:Q1,Millennial,0.7,1.4,2,5.4,0.5,0.6,0.7,1.3,4.6,3.4,10.3,1.3
2010:Q2,Silent,36.6,32,28.9,23.8,38.2,25.5,33.3,40.7,11.6,11.5,8.9,24.2
2010:Q2,BabyBoom,53.9,52.6,49.1,46.8,53.3,59.9,55.8,49.1,46.9,47.8,40.1,60.8
2010:Q2,GenX,8.7,13.8,19.9,23.6,8.1,13.4,10.1,9,36.4,36.7,40.5,13.7
2010:Q2,Millennial,0.8,1.6,2.1,5.7,0.5,1.2,0.8,1.2,5.1,4,10.5,1.3
2010:Q3,Silent,35.3,31.1,27.8,23.7,36.3,24.6,32.2,40,11.4,11.4,8.5,23.2
2010:Q3,BabyBoom,53.8,52.5,49.3,46.5,53,59.8,55.5,48.5,46.6,47.5,39.7,61.3
2010:Q3,GenX,10.1,14.8,20.5,24,10.1,14.6,11.5,10.2,36.5,36.7,40.8,14.2
2010:Q3,Millennial,0.8,1.6,2.4,5.8,0.6,1,0.9,1.3,5.5,4.4,11,1.3
2010:Q4,Silent,34.9,30.8,27.5,23.3,35.6,23.8,31.3,41,11.4,11.2,8.5,25.6
2010:Q4,BabyBoom,52.5,51.4,49,46,52.5,59.8,55,44,46.3,47.3,39.2,59.4
2010:Q4,GenX,11.8,16.1,21,24.6,11.3,15.5,12.8,13.6,36.5,36.9,40.3,13.9
2010:Q4,Millennial,0.8,1.7,2.6,6.1,0.6,1,0.9,1.3,5.9,4.5,12,1.1
2011:Q1,Silent,34.4,30.4,27.7,23,35,23.4,30.5,39.9,11.2,10.9,8.2,27.1
2011:Q1,BabyBoom,53.3,52,49.1,45.8,52,60,54.6,46.9,45.5,46.5,38.7,58.1
2011:Q1,GenX,11.6,15.9,20.7,25,12.2,15.8,14.1,11.7,36.9,37.5,40.4,13.7
2011:Q1,Millennial,0.7,1.7,2.5,6.3,0.7,0.9,0.8,1.5,6.4,5.1,12.6,1.1
2011:Q2,Silent,34.3,30.3,28,22.4,35,23.1,29.8,39.8,10.9,10.6,8.1,26.8
2011:Q2,BabyBoom,53.3,51.9,48.6,45.7,52,60.3,54.4,46.6,45.3,46.2,38.5,58.4
2011:Q2,GenX,11.7,16,20.7,25.2,12.3,15.6,15,12.1,37.1,37.8,40.1,13.7
2011:Q2,Millennial,0.7,1.8,2.6,6.8,0.8,0.9,0.8,1.6,6.7,5.4,13.2,1
2011:Q3,Silent,34.3,30.2,26.9,22.3,36.2,23.2,29.1,39.9,10.5,10.4,7.9,23.3
2011:Q3,BabyBoom,54.2,52.6,49,46.3,52.8,61.2,54.5,47.9,44.9,45.8,38,61.1
2011:Q3,GenX,10.7,15.3,21.4,24.4,10.2,14.3,15.6,10.8,37.4,38.1,40,14.4
2011:Q3,Millennial,0.8,1.9,2.8,6.9,0.8,1.4,0.9,1.4,7.2,5.7,14.1,1.3
2011:Q4,Silent,33.9,29.9,26.1,22,35.6,22.6,28.2,40.4,10.1,10.1,7.8,21.4
2011:Q4,BabyBoom,52.9,51.5,48.6,45.9,52.5,61,53.9,44.1,44.8,45.7,37.6,62.2
2011:Q4,GenX,12.4,16.7,22.2,25,11.1,15.1,17,14.1,37.5,38.3,39.7,14.8
2011:Q4,Millennial,0.8,2,3.1,7.2,0.8,1.3,0.9,1.4,7.6,5.9,14.9,1.5
2012:Q1,Silent,33,29.2,26,21.4,34.6,22,27.5,39.4,10,9.8,7.5,22.9
2012:Q1,BabyBoom,53.2,51.6,48.1,45.3,51.8,60.9,53.5,45.8,43.9,44.6,37.2,61
2012:Q1,GenX,12.9,17.1,22.6,25.7,12.7,16,18.1,13.1,37.9,38.9,39.7,14.7
2012:Q1,Millennial,0.8,2.1,3.4,7.6,0.9,1.1,0.9,1.7,8.3,6.7,15.6,1.4
2012:Q2,Silent,32.9,29,25.9,21.3,34.8,21.9,26.8,39.1,9.6,9.6,7.4,21.1
2012:Q2,BabyBoom,53.7,52.1,48.1,45.4,51.9,61.4,53.6,47.1,43.5,44.3,36.9,62.5
2012:Q2,GenX,12.5,16.7,22.7,25.5,12.4,15.6,18.6,12,38.1,39.1,39.4,15
2012:Q2,Millennial,0.8,2.1,3.3,7.8,1,1.2,1,1.8,8.8,7,16.4,1.5
2012:Q3,Silent,32.4,28.7,25.2,21.2,34.2,21.5,25.9,39.4,9.5,9.3,7.2,22
2012:Q3,BabyBoom,53.1,51.6,48,45.2,51.6,61.5,53.3,45.3,43.6,44.6,36.4,61.8
2012:Q3,GenX,13.6,17.5,23.3,25.8,13.2,16,19.7,13.5,38,39.2,39.1,14.8
2012:Q3,Millennial,0.9,2.2,3.5,7.9,1,1.1,1.1,1.8,8.9,6.9,17.3,1.4
2012:Q4,Silent,32.1,28.4,24.7,20.9,34,21.3,25.2,39.2,9.2,9.1,7.1,20.8
2012:Q4,BabyBoom,53.2,51.5,47.8,45.2,51.5,62,53.2,45,42.5,43.2,36,62.2
2012:Q4,GenX,13.8,17.7,23.8,25.8,13.3,15.6,20.4,13.9,38.4,39.8,38.7,15.2
2012:Q4,Millennial,0.8,2.3,3.7,8.2,1.1,1.1,1.2,1.9,10,8,18.3,1.7
2013:Q1,Silent,31.2,27.8,24.8,20.5,33.1,20.3,24.5,38.7,9,8.8,6.9,20.9
2013:Q1,BabyBoom,52.5,51.2,47.2,44.7,51,61.6,52.9,44.8,44,45.4,35.6,62.4
2013:Q1,GenX,15,18.5,24.2,26.3,14.7,16.8,21.2,14.4,37.9,39.2,38.6,14.9
2013:Q1,Millennial,1.2,2.4,3.8,8.5,1.2,1.3,1.3,2.1,9.1,6.6,18.9,1.7
2013:Q2,Silent,30.5,27.2,24.4,20.4,32.9,19.5,23.7,37.9,8.8,8.6,6.8,20.2
2013:Q2,BabyBoom,52.9,51.5,47,44.5,50.9,61.6,52.4,46.4,43.8,45.2,35.3,63
2013:Q2,GenX,15.2,18.7,24.7,26.5,14.9,17.2,22.5,13.1,37.9,39.4,38.2,15
2013:Q2,Millennial,1.4,2.7,3.9,8.6,1.3,1.7,1.4,2.6,9.5,6.9,19.7,1.8
2013:Q3,Silent,29.9,26.7,23.9,20.4,32.4,18.8,22.9,38,8.5,8.3,6.7,20.3
2013:Q3,BabyBoom,52.4,51.1,47.1,44.3,50.7,61.6,51.8,44.4,43.4,44.9,34.7,62.8
2013:Q3,GenX,16.2,19.5,25,26.7,15.6,17.7,23.7,14.9,38,39.6,37.9,15
2013:Q3,Millennial,1.5,2.8,3.9,8.6,1.3,1.9,1.6,2.7,10,7.1,20.8,1.8
2013:Q4,Silent,29.1,26.2,23.9,20.3,31.8,17.9,22.7,37.2,9,8.3,6.6,26.7
2013:Q4,BabyBoom,52.1,50.8,47.1,43.9,51.1,60.9,52.1,43.1,42.9,44.5,34,57.5
2013:Q4,GenX,17,20.1,25,27,15.7,18.9,23.5,16.6,37.8,39.7,38,14.1
2013:Q4,Millennial,1.7,3,4.1,8.8,1.4,2.3,1.7,3.1,10.4,7.4,21.4,1.7
2014:Q1,Silent,28.6,25.8,23.8,19.9,31.2,17.8,22.8,35.8,9,8.2,6.4,27.8
2014:Q1,BabyBoom,52.8,51.3,46.7,44,51.5,60.9,52.7,45.4,42.1,43.8,33.3,56.2
2014:Q1,GenX,16.7,19.8,25,26.9,15.9,19,22.9,15.3,38,39.9,38.3,14.2
2014:Q1,Millennial,1.8,3.1,4.4,9.3,1.4,2.4,1.6,3.4,11,8.1,22,1.9
2014:Q2,Silent,28.1,25.4,23.4,19.6,30.7,17.5,22.8,35.1,9.1,8.2,6.4,29.5
2014:Q2,BabyBoom,53,51.3,46.6,43.9,51.8,60.6,53.1,45.7,41.2,42.9,32.6,54.4
2014:Q2,GenX,17,20,25.2,26.9,16.1,19.5,22.5,15.6,38.1,40.1,38.3,14.1
2014:Q2,Millennial,1.8,3.2,4.7,9.6,1.4,2.4,1.6,3.6,11.7,8.8,22.7,2
2014:Q3,Silent,27.7,25.1,23.3,19.2,30.6,17.4,22.6,34,8.7,8.1,6.3,27.3
2014:Q3,BabyBoom,53.6,51.8,46.3,43.9,52.4,60.4,53.5,47.8,40.3,42.1,31.8,55.2
2014:Q3,GenX,16.6,19.7,25.4,26.8,15.6,19.6,22.1,14.4,38.4,40.3,38.4,14.9
2014:Q3,Millennial,2,3.5,5,10.1,1.4,2.7,1.8,3.8,12.5,9.5,23.5,2.6
2014:Q4,Silent,27.4,24.8,23.2,18.8,30.3,17,22.4,33.5,8.6,8,6.3,27.2
2014:Q4,BabyBoom,53.3,51.4,46,43.8,52.7,59.9,53.8,46.4,39.7,41.6,31.2,54.3
2014:Q4,GenX,17.2,20.2,25.4,26.9,15.6,20.1,21.9,16.1,38.5,40.4,38.3,15.3
2014:Q4,Millennial,2.1,3.7,5.4,10.5,1.4,2.9,1.9,4,13.1,10,24.2,3.1
2015:Q1,Silent,26.9,24.4,23.1,18.4,29.9,16.9,22.3,32.3,8.6,8,6.1,27.4
2015:Q1,BabyBoom,53.8,51.8,45.7,43.8,53.1,60,53.9,48.3,39.2,41.1,30.6,53.4
2015:Q1,GenX,17,20,25.5,26.7,15.6,20.1,21.9,15.2,38.7,40.5,38.7,15.6
2015:Q1,Millennial,2.3,3.8,5.7,11.1,1.5,3,2,4.2,13.6,10.4,24.7,3.6
2015:Q2,Silent,26.5,24.1,22.8,18,29.7,16.8,22.2,31.5,8.6,7.9,6.1,28.5
2015:Q2,BabyBoom,54.2,52.1,45.4,43.9,53.5,60,54.3,49.7,38.7,40.7,30.1,51.8
2015:Q2,GenX,16.8,19.8,25.7,26.5,15.3,20,21.5,14.3,38.7,40.6,38.6,15.7
2015:Q2,Millennial,2.5,4.1,6,11.7,1.5,3.2,2.1,4.6,14,10.8,25.3,4
2015:Q3,Silent,26.4,23.9,22.5,17.8,30,17.1,22,30.8,8.3,7.9,6,26.5
2015:Q3,BabyBoom,55.1,52.7,45.7,44.4,54.3,60.5,54.7,51.2,38,40.2,29.3,51.9
2015:Q3,GenX,16,19.2,25.7,25.8,14.2,19.1,21,13.4,38.9,40.7,38.6,16.6
2015:Q3,Millennial,2.5,4.2,6.2,12,1.5,3.4,2.2,4.6,14.7,11.3,26.1,5.1
2015:Q4,Silent,26.1,23.6,22.3,17.7,29.6,16.7,21.9,30.3,8.3,7.8,5.8,26.8
2015:Q4,BabyBoom,54.6,52.3,45.7,44.2,54.6,60,55.2,49,37.4,39.5,29,50.1
2015:Q4,GenX,16.7,19.7,25.6,25.9,14.4,19.8,20.6,15.8,39.1,40.8,38.8,17
2015:Q4,Millennial,2.6,4.4,6.4,12.2,1.5,3.5,2.3,4.9,15.2,11.9,26.3,6.1
2016:Q1,Silent,25.7,23.3,22.1,17.3,29.3,16.6,22,29.3,8.1,7.7,5.7,26.6
2016:Q1,BabyBoom,55.2,52.8,45.5,44.1,54.9,60,56.3,51.1,37,39.2,28.5,48.8
2016:Q1,GenX,16.3,19.4,25.6,25.8,14.3,19.8,19.4,14.5,39.2,40.9,39,17.5
2016:Q1,Millennial,2.8,4.6,6.7,12.8,1.5,3.6,2.4,5.1,15.7,12.3,26.9,7.1
2016:Q2,Silent,25.3,23,22,16.7,28.9,16.4,22,28.4,8.2,7.6,5.6,27.9
2016:Q2,BabyBoom,55.6,53,44.9,44,55.2,59.9,56.9,52.9,36.5,38.9,28,46.9
2016:Q2,GenX,16.1,19.2,25.9,25.8,14.3,20,18.6,13.4,39.2,40.9,38.9,17.6
2016:Q2,Millennial,3,4.8,7.2,13.5,1.6,3.7,2.5,5.3,16.1,12.6,27.5,7.6
2016:Q3,Silent,24.8,22.6,21.4,16.8,28.6,16.1,21.9,27.6,8.2,7.6,5.5,29.4
2016:Q3,BabyBoom,55.8,53.1,45.4,44,55.4,59.6,57.2,52.7,35.9,38.4,27.4,44.6
2016:Q3,GenX,16.3,19.4,25.9,25.7,14.4,20.4,18.3,14.1,39.3,41,38.8,17.7
2016:Q3,Millennial,3.1,4.9,7.3,13.5,1.6,3.9,2.6,5.6,16.7,13,28.3,8.2
2016:Q4,Silent,24.3,22.1,21,16.7,27.8,15.6,21.2,27.4,7.9,7.4,5.5,27.1
2016:Q4,BabyBoom,55.2,52.5,45.3,43.7,55.5,59.1,56.7,50.5,35.5,37.8,27.1,46.3
2016:Q4,GenX,17.4,20.3,26.1,26,15.1,21.1,19.2,16.4,39.3,41.1,38.3,18.2
2016:Q4,Millennial,3.2,5.1,7.5,13.6,1.6,4.2,2.8,5.7,17.4,13.7,29,8.3
2017:Q1,Silent,23.6,21.5,20.7,16.3,26.9,15.1,20.4,26.6,7.6,7.2,5.5,25.9
2017:Q1,BabyBoom,55,52.4,45,43.2,55.3,58.6,56.1,51.3,35,37.1,26.9,47.8
2017:Q1,GenX,18.1,20.9,26.5,26.6,16.2,22.1,20.5,16.1,39.3,41.2,38.1,18.4
2017:Q1,Millennial,3.3,5.2,7.8,13.9,1.6,4.3,3,5.9,18.1,14.5,29.6,7.9
2017:Q2,Silent,22.9,20.9,19.9,16.1,26,14.6,19.6,26.2,7.5,7,5.5,24.6
2017:Q2,BabyBoom,54.8,52.2,44.9,42.9,55.2,58.3,55.1,51.4,34.5,36.3,26.7,49
2017:Q2,GenX,18.9,21.6,27.1,26.9,17.1,22.6,22.1,16.4,39.2,41.3,37.6,18.6
2017:Q2,Millennial,3.4,5.4,8.2,14,1.7,4.5,3.3,5.9,18.8,15.4,30.3,7.8
2017:Q3,Silent,22.2,20.3,19.3,15.9,25.2,14.1,18.8,25.7,7.2,6.8,5.4,23
2017:Q3,BabyBoom,54.6,51.9,44.8,42.6,55.2,57.9,54.2,51.2,33.9,35.6,26.3,50.5
2017:Q3,GenX,19.8,22.3,27.5,27.4,17.9,23.4,23.5,17,39.2,41.4,37.3,19
2017:Q3,Millennial,3.4,5.5,8.5,14.1,1.7,4.6,3.5,6,19.6,16.2,31,7.6
2017:Q4,Silent,21.5,19.7,18.8,15.8,24.4,13.5,18,25.4,7.1,6.6,5.4,22.9
2017:Q4,BabyBoom,54.1,51.5,44.8,42.1,55,57.2,53.3,50.1,33.5,35,26.1,51.1
2017:Q4,GenX,20.9,23.2,27.7,28,18.9,24.5,25,18.4,39.1,41.5,36.8,18.9
2017:Q4,Millennial,3.5,5.6,8.7,14.1,1.7,4.9,3.8,6.1,20.3,16.9,31.8,7
2018:Q1,Silent,20.9,19.1,18,15.4,23.7,13.2,17.2,24.6,6.9,6.4,5.3,21.7
2018:Q1,BabyBoom,54.4,51.7,44.6,42,55.1,57.2,52.8,51.8,32.9,34.1,25.8,52.5
2018:Q1,GenX,21.1,23.4,28.2,28.1,19.5,24.6,26,17.4,39.1,41.6,36.6,19.1
2018:Q1,Millennial,3.6,5.8,9.1,14.5,1.7,5.1,4,6.1,21.1,18,32.3,6.7
2018:Q2,Silent,20.2,18.5,17.3,15.1,23,12.7,16.5,24.1,6.6,6.2,5.2,19.7
2018:Q2,BabyBoom,54.2,51.5,44.4,41.7,55.1,56.7,51.9,52.1,32.4,33.3,25.6,53.8
2018:Q2,GenX,21.9,24,28.7,28.4,20.2,25.2,27.4,17.8,39.1,41.7,36.2,19.5
2018:Q2,Millennial,3.7,6,9.5,14.7,1.7,5.4,4.3,6,21.9,18.9,33,7
2018:Q3,Silent,19.5,17.9,16.8,14.9,22.2,12,15.8,23.6,6.4,6,5.2,18.5
2018:Q3,BabyBoom,53.9,51.1,44.3,41.2,55,55.7,51.5,52.1,31.9,32.7,25.2,55
2018:Q3,GenX,22.7,24.8,29.1,29.2,21,26.6,28.2,18.3,39,41.7,35.8,19.9
2018:Q3,Millennial,3.8,6.2,9.9,14.8,1.8,5.8,4.5,6,22.7,19.7,33.8,6.7
2018:Q4,Silent,19.3,17.6,16.4,14.5,21.8,12.4,15.1,23.4,6.1,5.8,5.1,15.7
2018:Q4,BabyBoom,54.7,51.7,44.4,42.1,55.9,57.2,50.9,53.2,31.5,32.1,25,56.8
2018:Q4,GenX,22.2,24.4,29.3,28.1,20.7,24.7,29.2,17.8,38.9,41.7,35.4,20.3
2018:Q4,Millennial,3.8,6.3,10,15.3,1.7,5.7,4.8,5.6,23.5,20.4,34.6,7.3
2019:Q1,Silent,18.5,16.9,16.1,13.9,20.7,11.5,14.4,22.6,5.8,5.6,5,14.2
2019:Q1,BabyBoom,53.7,50.9,43.8,41,55.2,55.8,50.1,52.4,31.1,31.7,24.7,58.2
2019:Q1,GenX,23.7,25.6,29.7,29.3,22.2,26.6,30.5,19.2,39,41.7,35.2,20.9
2019:Q1,Millennial,4,6.5,10.4,15.8,1.8,6.1,5,5.9,24.1,21,35.1,6.8
2019:Q2,Silent,17.8,16.3,15.4,13.5,20,10.9,13.7,22.2,5.6,5.4,4.9,13.3
2019:Q2,BabyBoom,53.4,50.6,43.4,40.6,55.2,55.3,49.2,52.4,31,31.4,24.6,59
2019:Q2,GenX,24.6,26.3,30.2,29.8,23,27.4,31.9,19.7,38.8,41.8,34.8,20.9
2019:Q2,Millennial,4.2,6.7,11,16.2,1.8,6.4,5.2,5.7,24.6,21.5,35.7,6.8
2019:Q3,Silent,17.1,15.7,14.5,13.3,19.2,10.5,13,21.5,5.4,5.1,4.8,12.1
2019:Q3,BabyBoom,53.5,50.6,43.7,40.6,55.3,55,48.5,52.6,30.6,30.9,24.2,60.2
2019:Q3,GenX,25.2,26.8,30.5,30.1,23.6,27.9,33,20.1,38.8,41.8,34.5,21.3
2019:Q3,Millennial,4.2,6.9,11.2,16,1.8,6.5,5.5,5.8,25.2,22.2,36.5,6.5
2019:Q4,Silent,17.1,15.6,14.5,13.6,19.2,10.2,12.9,21.4,5.5,5.2,4.8,12.4
2019:Q4,BabyBoom,53.2,50.5,44,40.2,55.1,54.1,48.7,52.3,30.6,30.8,24.2,59.9
2019:Q4,GenX,25.4,27,30.3,30.6,23.7,29,32.9,20.3,38.5,41.6,34.2,21
2019:Q4,Millennial,4.3,6.9,11.2,15.6,1.9,6.7,5.5,6.1,25.5,22.4,36.7,6.7
2020:Q1,Silent,17.1,15.6,14.2,13.1,19.2,11,12.6,21.4,5.4,5,4.7,12.6
2020:Q1,BabyBoom,54.1,51.1,44,41.5,56.4,56.6,48.6,52.6,30.3,30.4,23.9,60
2020:Q1,GenX,24.4,26.2,30.5,28.8,22.6,26.1,33.2,19.9,38.5,41.6,34.2,20.4
2020:Q1,Millennial,4.4,7.1,11.3,16.6,1.8,6.4,5.6,6.1,25.9,23,37.2,7
2020:Q2,Silent,16.4,15.1,14.1,13.1,18.6,9.9,12.3,20.3,5.2,4.9,4.5,11.8
2020:Q2,BabyBoom,53.5,50.6,44.2,40.5,55.6,54.8,48.5,51.9,29.9,29.9,23.8,59.9
2020:Q2,GenX,25.7,27.2,30.7,30.4,23.8,28.7,33.5,21,38.8,41.8,34.5,20.9
2020:Q2,Millennial,4.4,7.1,11,16,2,6.6,5.7,6.7,26.1,23.4,37.2,7.3
2020:Q3,Silent,15.8,14.6,13.7,12.6,18.1,9.2,11.9,19.6,5.2,4.8,4.4,14
2020:Q3,BabyBoom,53.2,50.3,44.3,39.9,55.4,53.8,48.5,51.6,29.4,29.3,23.5,58.8
2020:Q3,GenX,26.3,27.8,30.9,31.1,24.4,29.9,33.5,21.7,38.8,41.9,34.4,20.7
